epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5622,2.52576,3.76788,1.50138,0.00759,0.61905,0.04435,0.01723,1.6154,3.50951,1.14019,0.00048,0.00048,0.00048
2,19.3918,1.57903,2.29347,1.07134,0.04359,0.29972,0.02591,0.01238,1.53414,5.47518,1.06189,0.000970298,0.000970298,0.000970298
3,25.7665,1.43226,1.94661,1.03217,0.53503,0.06446,0.09452,0.04232,1.58344,3.14213,1.08793,0.0014507,0.0014507,0.0014507
4,32.0269,1.35626,1.69992,1.00428,0.58138,0.09337,0.17164,0.08293,1.51739,2.98711,1.06312,0.00192119,0.00192119,0.00192119
5,38.3743,1.26597,1.51634,0.98185,0.34343,0.30252,0.22645,0.11263,1.56218,2.3494,1.07192,0.0019208,0.0019208,0.0019208
6,44.692,1.20996,1.34788,0.96495,0.37962,0.35574,0.29591,0.13792,1.64079,2.12062,1.11142,0.001901,0.001901,0.001901
7,51.073,1.10384,1.14288,0.92864,0.32419,0.38296,0.27602,0.1214,1.69311,2.54083,1.1524,0.0018812,0.0018812,0.0018812
8,57.571,0.99692,1.02602,0.90392,0.40688,0.39496,0.29451,0.13053,1.69602,3.01414,1.15183,0.0018614,0.0018614,0.0018614
9,63.9369,0.9248,0.99091,0.88408,0.28659,0.41457,0.21596,0.09643,1.81443,2.49781,1.21243,0.0018416,0.0018416,0.0018416
10,70.3164,0.82774,0.9448,0.86105,0.40064,0.27451,0.24016,0.10023,1.83132,3.57524,1.23013,0.0018218,0.0018218,0.0018218
11,76.6426,0.66254,0.7606,0.82596,0.30005,0.36975,0.2457,0.10153,1.99796,4.42382,1.30972,0.001802,0.001802,0.001802
12,82.9656,0.53817,0.65788,0.80331,0.34307,0.32621,0.23291,0.09515,2.01682,4.09244,1.30474,0.0017822,0.0017822,0.0017822
13,89.2921,0.45172,0.56769,0.78783,0.39661,0.2605,0.1954,0.08006,2.10518,2.83552,1.34664,0.0017624,0.0017624,0.0017624
14,95.5822,0.3768,0.46556,0.77583,0.36306,0.35014,0.24109,0.09809,2.14488,2.73,1.37125,0.0017426,0.0017426,0.0017426
15,101.88,0.31766,0.39708,0.7687,0.35403,0.29692,0.20271,0.08135,2.2215,3.02114,1.40396,0.0017228,0.0017228,0.0017228
16,108.131,0.27004,0.33568,0.76342,0.40671,0.39496,0.28868,0.11368,2.25612,2.54325,1.44946,0.001703,0.001703,0.001703
17,114.368,0.24587,0.31334,0.76151,0.41969,0.3687,0.28373,0.11023,2.2853,2.70116,1.46033,0.0016832,0.0016832,0.0016832
18,120.66,0.22579,0.29519,0.75688,0.39212,0.29814,0.24,0.09737,2.22853,2.94917,1.381,0.0016634,0.0016634,0.0016634
19,126.921,0.22162,0.28349,0.75642,0.39294,0.40336,0.28303,0.11123,2.29387,2.77397,1.44146,0.0016436,0.0016436,0.0016436
20,133.198,0.19493,0.25497,0.7526,0.46094,0.3521,0.29872,0.11999,2.25124,2.83719,1.42207,0.0016238,0.0016238,0.0016238
21,139.444,0.17501,0.2349,0.75124,0.44844,0.33053,0.29724,0.11897,2.29705,3.02808,1.4603,0.001604,0.001604,0.001604
22,145.62,0.16914,0.2287,0.75056,0.41594,0.40896,0.32875,0.13112,2.27894,2.83163,1.4734,0.0015842,0.0015842,0.0015842
23,151.779,0.16294,0.20777,0.7501,0.44468,0.33053,0.29221,0.11996,2.24588,2.94286,1.43204,0.0015644,0.0015644,0.0015644
24,157.945,0.15167,0.20238,0.74776,0.33808,0.26611,0.30113,0.1323,2.11899,3.98949,1.35026,0.0015446,0.0015446,0.0015446
25,164.215,0.15064,0.20404,0.7469,0.46818,0.34734,0.32264,0.13301,2.2745,3.02258,1.4597,0.0015248,0.0015248,0.0015248
26,170.614,0.14407,0.17902,0.74863,0.47401,0.29132,0.29591,0.12108,2.22685,3.06842,1.39782,0.001505,0.001505,0.001505
27,176.912,0.14085,0.16439,0.74741,0.52406,0.25909,0.30087,0.12603,2.2396,3.38579,1.42917,0.0014852,0.0014852,0.0014852
28,183.243,0.13613,0.17076,0.74609,0.46632,0.31818,0.32099,0.1312,2.26461,3.38159,1.43115,0.0014654,0.0014654,0.0014654
29,189.499,0.13372,0.16778,0.74457,0.42498,0.35193,0.31247,0.12497,2.3181,3.2231,1.46913,0.0014456,0.0014456,0.0014456
30,195.753,0.12605,0.15958,0.74521,0.49259,0.2605,0.31909,0.13262,2.30102,3.5073,1.46537,0.0014258,0.0014258,0.0014258
31,201.965,0.12598,0.14896,0.74571,0.43526,0.29692,0.27102,0.11036,2.30179,3.29509,1.46529,0.001406,0.001406,0.001406
