epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8598,4.23188,7.47486,2.79588,0,0,0,0,nan,nan,nan,0.000647059,0.000647059,0.000647059
2,57.2503,3.05687,4.69017,2.20259,0,0,0,0,nan,nan,nan,0.00130722,0.00130722,0.00130722
3,83.452,3.08102,4.92051,2.21464,0,0,0,0,nan,nan,nan,0.00196079,0.00196079,0.00196079
4,109.57,3.02671,5.09567,2.20285,0,0,0,0,nan,nan,nan,0.0019703,0.0019703,0.0019703
5,135.655,2.92767,4.72775,2.12421,0,0,0,0,nan,nan,nan,0.0019604,0.0019604,0.0019604
6,161.782,2.9481,4.5614,2.1263,0.21451,0.24689,0.11794,0.06211,nan,nan,nan,0.0019505,0.0019505,0.0019505
7,187.815,2.90442,4.41736,2.10776,0.31655,0.37967,0.25191,0.12792,2.94733,10.0284,2.10719,0.0019406,0.0019406,0.0019406
8,213.908,2.862,4.14933,2.08479,0.42788,0.35477,0.3288,0.17013,2.83179,6.34759,2.06456,0.0019307,0.0019307,0.0019307
9,239.956,2.80307,3.94342,2.06023,0.39534,0.37137,0.32202,0.16837,2.85475,7.25712,2.06368,0.0019208,0.0019208,0.0019208
10,266.026,2.81165,4.05434,2.06559,0.42424,0.37301,0.30425,0.14587,2.95508,5.69851,2.08577,0.0019109,0.0019109,0.0019109
11,292.074,2.8006,3.94718,2.06855,0.3941,0.30705,0.26463,0.13681,2.89948,7.28005,2.07876,0.001901,0.001901,0.001901
12,318.185,2.82165,3.80257,2.06154,0.21628,0.11203,0.06928,0.03177,3.48733,14.9067,2.26703,0.0018911,0.0018911,0.0018911
13,344.304,2.80743,3.73685,2.06047,0.47137,0.37759,0.35996,0.19026,2.88447,5.20064,2.07395,0.0018812,0.0018812,0.0018812
14,370.386,2.77942,3.87837,2.05295,0.45482,0.42739,0.35972,0.18668,2.88887,27.8985,2.05189,0.0018713,0.0018713,0.0018713
15,396.352,2.82454,3.68935,2.0595,0.42896,0.31328,0.30971,0.1649,2.96445,5.44066,2.07616,0.0018614,0.0018614,0.0018614
16,422.471,2.83631,3.72268,2.06643,0.4912,0.38657,0.35033,0.18386,2.8828,5.26331,2.05309,0.0018515,0.0018515,0.0018515
17,448.604,2.78952,3.72591,2.05606,0.48849,0.45021,0.42153,0.22159,2.86016,4.04108,2.05752,0.0018416,0.0018416,0.0018416
18,474.711,2.82527,3.64058,2.0688,0.46278,0.38382,0.39069,0.20552,2.90403,4.36385,2.06791,0.0018317,0.0018317,0.0018317
19,500.767,2.76833,3.53536,2.04312,0.39983,0.36307,0.2909,0.14067,2.96912,6.10729,2.10385,0.0018218,0.0018218,0.0018218
20,526.959,2.7226,3.50433,2.03615,0.31165,0.22614,0.20863,0.10807,2.94039,5.1596,2.06848,0.0018119,0.0018119,0.0018119
21,553.063,2.74989,3.53616,2.04873,0.42492,0.48548,0.41745,0.21745,2.8562,4.4851,2.06115,0.001802,0.001802,0.001802
22,579.27,2.7082,3.59624,2.02409,0.4668,0.43154,0.39802,0.20873,2.79039,5.73265,2.03051,0.0017921,0.0017921,0.0017921
23,605.421,2.75828,3.43434,2.0468,0.47595,0.36929,0.38108,0.2083,2.84795,4.54344,2.04361,0.0017822,0.0017822,0.0017822
24,631.53,2.74855,3.45228,2.05106,0.45596,0.37967,0.36414,0.19192,2.91351,4.23828,2.09083,0.0017723,0.0017723,0.0017723
25,657.618,2.72314,3.47703,2.04049,0.55724,0.42039,0.40837,0.21874,2.87862,5.27392,2.05115,0.0017624,0.0017624,0.0017624
26,683.671,2.67361,3.40691,2.02046,0.43535,0.35062,0.34867,0.18899,2.79086,4.38124,2.0283,0.0017525,0.0017525,0.0017525
27,709.843,2.70306,3.22003,2.02996,0.45987,0.40041,0.3833,0.21143,2.84732,4.7649,2.04843,0.0017426,0.0017426,0.0017426
28,735.982,2.69813,3.17713,2.02975,0.56174,0.31328,0.39139,0.226,2.83329,5.15467,2.04436,0.0017327,0.0017327,0.0017327
29,762.155,2.7122,3.39728,2.03457,0.51538,0.40041,0.40654,0.22141,2.85183,4.38013,2.05419,0.0017228,0.0017228,0.0017228
30,788.218,2.73699,3.15836,2.04666,0.53087,0.52905,0.47127,0.25161,2.89894,3.95586,2.06529,0.0017129,0.0017129,0.0017129
31,814.31,2.72498,3.05492,2.03773,0.42462,0.4287,0.35544,0.18793,2.86746,4.33289,2.04944,0.001703,0.001703,0.001703
32,840.394,2.64247,3.08015,2.01159,0.52043,0.4503,0.41082,0.21636,2.85756,4.19966,2.04209,0.0016931,0.0016931,0.0016931
33,866.495,2.65932,3.256,2.01247,0.47726,0.45643,0.39894,0.21545,2.86321,4.25781,2.0524,0.0016832,0.0016832,0.0016832
34,892.677,2.6314,3.06534,2.00528,0.45795,0.20539,0.26583,0.14041,2.92123,5.40604,2.06671,0.0016733,0.0016733,0.0016733
35,918.835,2.63237,2.98939,2.01109,0.55608,0.48963,0.44157,0.23003,2.84756,4.75243,2.05422,0.0016634,0.0016634,0.0016634
36,944.936,2.63318,2.99305,2.0021,0.51603,0.39818,0.42961,0.23252,2.90195,3.97243,2.06594,0.0016535,0.0016535,0.0016535
37,971.106,2.63539,2.84875,2.01235,0.51691,0.43776,0.42575,0.23241,2.85312,3.99651,2.05858,0.0016436,0.0016436,0.0016436
38,997.152,2.62876,2.80093,2.01653,0.71527,0.10424,0.2208,0.11872,3.04049,7.17092,2.09924,0.0016337,0.0016337,0.0016337
39,1023.32,2.63231,2.93656,2.01437,0.49283,0.35684,0.36933,0.20103,2.92349,4.65255,2.07308,0.0016238,0.0016238,0.0016238
40,1049.45,2.59998,2.81268,1.99022,0.52775,0.42946,0.42705,0.22796,3.03046,4.16689,2.12604,0.0016139,0.0016139,0.0016139
41,1075.64,2.62344,2.63603,2.01365,0.5368,0.48548,0.44532,0.2422,2.89971,4.09414,2.06714,0.001604,0.001604,0.001604
42,1101.69,2.6439,2.54763,2.02561,0.56708,0.45643,0.45269,0.23108,3.02255,3.94215,2.11659,0.0015941,0.0015941,0.0015941
43,1127.83,2.56664,2.61808,1.99118,0.59156,0.51452,0.51115,0.27357,2.9368,3.88269,2.09377,0.0015842,0.0015842,0.0015842
44,1153.97,2.61351,2.47553,2.0068,0.53505,0.4668,0.44427,0.22809,3.14931,3.98531,2.16581,0.0015743,0.0015743,0.0015743
45,1180.09,2.5626,2.45823,1.99904,0.55833,0.43154,0.44666,0.23929,3.04757,4.17872,2.12307,0.0015644,0.0015644,0.0015644
46,1206.22,2.5953,2.54194,2.00755,0.52659,0.39923,0.4036,0.20353,3.14792,4.39183,2.15094,0.0015545,0.0015545,0.0015545
47,1232.36,2.51487,2.5311,1.98575,0.58551,0.51582,0.50333,0.26253,3.00217,3.69311,2.11513,0.0015446,0.0015446,0.0015446
48,1258.46,2.52988,2.3753,1.97425,0.55687,0.54979,0.50146,0.25404,3.09646,3.82551,2.14534,0.0015347,0.0015347,0.0015347
49,1284.57,2.5174,2.31087,1.97728,0.51322,0.49653,0.45713,0.23488,3.08798,4.17866,2.15344,0.0015248,0.0015248,0.0015248
50,1310.72,2.45952,2.21601,1.96542,0.41404,0.36929,0.28711,0.13516,3.33824,13.8577,2.26909,0.0015149,0.0015149,0.0015149
51,1336.87,2.50391,2.29213,1.96906,0.52836,0.53112,0.50869,0.26977,3.07097,3.78186,2.14355,0.001505,0.001505,0.001505
52,1362.99,2.45076,2.19413,1.9553,0.55076,0.52697,0.48489,0.2629,3.06675,3.87769,2.1537,0.0014951,0.0014951,0.0014951
53,1389.06,2.42219,2.09156,1.96064,0.52637,0.48548,0.47289,0.24553,3.04617,4.22031,2.15736,0.0014852,0.0014852,0.0014852
54,1415.06,2.40123,2.16217,1.93716,0.55325,0.41909,0.41852,0.21312,3.18944,4.76595,2.17928,0.0014753,0.0014753,0.0014753
55,1441.21,2.33593,2.19771,1.93113,0.64776,0.47718,0.5134,0.2707,3.05986,3.83124,2.13255,0.0014654,0.0014654,0.0014654
56,1467.31,2.3349,2.03002,1.93235,0.55758,0.43983,0.46297,0.23812,3.10117,4.06896,2.15432,0.0014555,0.0014555,0.0014555
57,1493.43,2.36471,2.07515,1.93423,0.53888,0.50187,0.45997,0.23856,3.09803,4.15373,2.18952,0.0014456,0.0014456,0.0014456
58,1519.51,2.36987,2.06786,1.92329,0.62258,0.54415,0.57197,0.30874,3.08899,3.45308,2.16568,0.0014357,0.0014357,0.0014357
59,1545.57,2.2415,1.96448,1.90789,0.63509,0.51867,0.56135,0.30922,3.01451,3.79167,2.13882,0.0014258,0.0014258,0.0014258
60,1571.59,2.26052,1.93832,1.90539,0.67589,0.51486,0.56875,0.30378,3.04045,3.72862,2.15223,0.0014159,0.0014159,0.0014159
61,1597.71,2.22796,1.90765,1.90182,0.55474,0.54023,0.47746,0.23917,3.11246,4.0749,2.16489,0.001406,0.001406,0.001406
62,1623.81,2.25941,2.00711,1.9064,0.60362,0.44606,0.45223,0.22649,3.19515,4.10701,2.24797,0.0013961,0.0013961,0.0013961
63,1649.86,2.23352,1.89802,1.89945,0.61794,0.54772,0.52817,0.27805,3.06403,3.93569,2.16843,0.0013862,0.0013862,0.0013862
64,1675.96,2.15172,1.7801,1.87943,0.64268,0.55602,0.58548,0.31167,3.13814,3.58481,2.2075,0.0013763,0.0013763,0.0013763
65,1702.09,2.17185,1.72507,1.88775,0.68321,0.51902,0.56777,0.31869,2.97806,3.65251,2.14649,0.0013664,0.0013664,0.0013664
66,1728.2,2.11592,1.85618,1.86562,0.53977,0.53734,0.50359,0.26751,3.14836,4.55704,2.22796,0.0013565,0.0013565,0.0013565
67,1754.24,2.10664,1.74067,1.87978,0.61147,0.52697,0.51868,0.27249,3.05651,4.47955,2.17651,0.0013466,0.0013466,0.0013466
68,1780.43,2.11668,1.83078,1.8734,0.5789,0.50482,0.50943,0.26918,3.07768,3.96187,2.18608,0.0013367,0.0013367,0.0013367
69,1806.63,2.01063,1.64215,1.83968,0.68775,0.54772,0.58603,0.33864,2.89705,3.92997,2.13596,0.0013268,0.0013268,0.0013268
70,1832.73,2.06324,1.58167,1.8605,0.62289,0.54772,0.53806,0.28156,3.0749,3.68736,2.2235,0.0013169,0.0013169,0.0013169
71,1858.82,2.09367,1.62507,1.86892,0.61339,0.57933,0.55154,0.29669,3.03352,3.75972,2.18257,0.001307,0.001307,0.001307
72,1884.94,2.01171,1.52686,1.83618,0.71823,0.56224,0.61708,0.35431,2.92066,3.3225,2.13648,0.0012971,0.0012971,0.0012971
73,1911.1,2.001,1.42691,1.84701,0.67626,0.54564,0.57915,0.32226,2.98613,3.99654,2.17243,0.0012872,0.0012872,0.0012872
74,1937.21,1.94256,1.46192,1.83049,0.72391,0.54564,0.58533,0.33015,2.93635,4.25819,2.14965,0.0012773,0.0012773,0.0012773
75,1963.44,1.94676,1.43654,1.83252,0.74579,0.52697,0.57379,0.31286,2.88134,3.69173,2.14935,0.0012674,0.0012674,0.0012674
76,1989.56,1.92297,1.36506,1.81713,0.70794,0.53307,0.54124,0.30498,2.90236,3.88125,2.15368,0.0012575,0.0012575,0.0012575
77,2015.61,1.94136,1.36848,1.82999,0.67578,0.57082,0.60821,0.34618,2.97619,3.47454,2.16663,0.0012476,0.0012476,0.0012476
78,2041.75,1.86575,1.31611,1.80682,0.68615,0.58091,0.60025,0.32982,2.99347,3.48929,2.17703,0.0012377,0.0012377,0.0012377
79,2067.79,1.90767,1.32828,1.82428,0.73162,0.52905,0.60099,0.33226,3.00448,4.14178,2.18065,0.0012278,0.0012278,0.0012278
80,2093.82,1.89534,1.3689,1.81363,0.6848,0.60399,0.61184,0.34617,2.93465,3.56187,2.16302,0.0012179,0.0012179,0.0012179
81,2119.83,1.85141,1.22663,1.79876,0.72497,0.53048,0.57964,0.31237,3.01327,3.56213,2.19769,0.001208,0.001208,0.001208
82,2145.98,1.8153,1.22933,1.79032,0.71274,0.5332,0.5627,0.30443,2.93088,3.68476,2.17249,0.0011981,0.0011981,0.0011981
83,2172.1,1.83036,1.27638,1.79607,0.73619,0.55581,0.61333,0.3405,2.98428,3.91131,2.19711,0.0011882,0.0011882,0.0011882
84,2198.16,1.80864,1.27537,1.78632,0.74625,0.56432,0.61169,0.34218,2.99017,3.75668,2.18276,0.0011783,0.0011783,0.0011783
85,2224.37,1.86334,1.33739,1.79915,0.71331,0.57261,0.63808,0.37131,2.88217,3.58664,2.13189,0.0011684,0.0011684,0.0011684
86,2250.54,1.82962,1.2124,1.79515,0.69559,0.50253,0.53612,0.29047,3.02802,4.02796,2.19888,0.0011585,0.0011585,0.0011585
87,2276.61,1.75651,1.15788,1.77829,0.69042,0.56017,0.5622,0.31716,2.91713,4.00879,2.17063,0.0011486,0.0011486,0.0011486
88,2302.7,1.73969,1.1201,1.77081,0.69911,0.59336,0.60714,0.34159,2.92473,3.63175,2.17034,0.0011387,0.0011387,0.0011387
89,2328.76,1.74115,1.16321,1.76872,0.72001,0.61826,0.64022,0.37136,2.86371,3.39414,2.17336,0.0011288,0.0011288,0.0011288
90,2354.85,1.67394,1.05737,1.75647,0.80408,0.56432,0.64591,0.37903,2.87472,3.7123,2.15161,0.0011189,0.0011189,0.0011189
91,2380.98,1.70779,1.06347,1.77057,0.68015,0.54357,0.58333,0.33411,2.93852,4.17514,2.1795,0.001109,0.001109,0.001109
92,2407.16,1.70981,1.0905,1.76408,0.78318,0.59544,0.65426,0.38993,2.85098,3.49171,2.1676,0.0010991,0.0010991,0.0010991
93,2433.24,1.66914,1.06288,1.76049,0.76654,0.60996,0.64388,0.37527,2.85033,3.6165,2.16489,0.0010892,0.0010892,0.0010892
94,2459.29,1.62015,1.01429,1.74878,0.73282,0.58042,0.60831,0.35219,2.82735,3.79906,2.15238,0.0010793,0.0010793,0.0010793
95,2485.47,1.6658,1.01995,1.75234,0.76981,0.60788,0.63409,0.37072,2.87263,3.6799,2.18314,0.0010694,0.0010694,0.0010694
96,2511.53,1.66822,1.04259,1.7646,0.76806,0.54149,0.63017,0.36836,3.01165,4.14593,2.22215,0.0010595,0.0010595,0.0010595
97,2537.71,1.62173,0.98513,1.75842,0.79684,0.60788,0.68514,0.40733,2.94738,3.64917,2.20465,0.0010496,0.0010496,0.0010496
98,2563.87,1.64238,1.02042,1.75579,0.74066,0.59959,0.62074,0.35899,2.92826,3.4174,2.21067,0.0010397,0.0010397,0.0010397
99,2589.84,1.55512,0.90833,1.7384,0.77184,0.63693,0.67143,0.40016,2.842,3.48045,2.16699,0.0010298,0.0010298,0.0010298
100,2615.93,1.54294,0.9242,1.73161,0.78977,0.56639,0.65522,0.39631,2.88548,4.12481,2.19886,0.0010199,0.0010199,0.0010199
101,2642.06,1.57709,0.94639,1.73205,0.74549,0.60996,0.67214,0.39132,2.86579,3.60587,2.19241,0.00101,0.00101,0.00101
102,2668.15,1.55954,0.92441,1.73581,0.76291,0.6075,0.68745,0.41446,2.8404,3.6154,2.17582,0.0010001,0.0010001,0.0010001
103,2694.36,1.52203,0.88683,1.7269,0.76799,0.57261,0.61841,0.35583,2.82388,3.64034,2.16181,0.0009902,0.0009902,0.0009902
104,2720.5,1.54931,0.86818,1.72347,0.79187,0.58506,0.64592,0.3809,2.8903,3.51857,2.18856,0.0009803,0.0009803,0.0009803
105,2746.61,1.51936,0.87439,1.72915,0.8132,0.55809,0.65294,0.39625,2.84257,3.8045,2.18212,0.0009704,0.0009704,0.0009704
106,2772.71,1.5214,0.89338,1.7213,0.77966,0.56527,0.61218,0.34917,2.84614,3.98791,2.21974,0.0009605,0.0009605,0.0009605
107,2798.86,1.48731,0.89645,1.71631,0.82063,0.6075,0.66241,0.40111,2.82252,3.5073,2.19083,0.0009506,0.0009506,0.0009506
108,2824.99,1.46116,0.84214,1.71547,0.74717,0.58299,0.62658,0.36566,2.81532,3.54216,2.19283,0.0009407,0.0009407,0.0009407
109,2851.1,1.50046,0.89101,1.72905,0.85352,0.58091,0.67585,0.40581,2.80153,3.62488,2.1746,0.0009308,0.0009308,0.0009308
110,2877.2,1.51308,0.83636,1.73377,0.73543,0.55394,0.57528,0.33683,2.86914,4.01683,2.2132,0.0009209,0.0009209,0.0009209
111,2903.23,1.47702,0.82567,1.72194,0.80429,0.59684,0.69518,0.42453,2.83704,3.81351,2.19105,0.000911,0.000911,0.000911
112,2929.44,1.45771,0.82276,1.70288,0.79079,0.61411,0.68473,0.41821,2.78284,3.79477,2.17707,0.0009011,0.0009011,0.0009011
113,2955.53,1.42088,0.83377,1.70354,0.76204,0.60373,0.63597,0.36922,2.83299,3.64111,2.19846,0.0008912,0.0008912,0.0008912
114,2981.63,1.46574,0.84411,1.70842,0.76225,0.60373,0.66386,0.40379,2.80497,3.7204,2.20381,0.0008813,0.0008813,0.0008813
115,3007.84,1.40265,0.7783,1.71081,0.82068,0.59336,0.67127,0.40747,2.7689,3.4633,2.17183,0.0008714,0.0008714,0.0008714
116,3033.93,1.38113,0.75064,1.70026,0.81399,0.58714,0.66752,0.4015,2.85797,3.83407,2.19738,0.0008615,0.0008615,0.0008615
117,3060,1.37636,0.76557,1.70476,0.82737,0.57884,0.6575,0.39702,2.82229,3.74012,2.20709,0.0008516,0.0008516,0.0008516
118,3086.12,1.39804,0.7466,1.69515,0.80951,0.5907,0.65023,0.38543,2.8134,3.79768,2.21341,0.0008417,0.0008417,0.0008417
119,3112.27,1.38503,0.75099,1.69947,0.86875,0.54928,0.6649,0.41045,2.7904,3.83894,2.20756,0.0008318,0.0008318,0.0008318
120,3138.34,1.33671,0.74964,1.69446,0.81646,0.61203,0.69944,0.43467,2.74119,3.65208,2.19372,0.0008219,0.0008219,0.0008219
121,3164.58,1.37039,0.77766,1.70169,0.84156,0.60166,0.69479,0.43346,2.76548,3.73879,2.2064,0.000812,0.000812,0.000812
122,3190.67,1.33926,0.73849,1.68696,0.7787,0.60581,0.67832,0.42638,2.74943,3.82004,2.18843,0.0008021,0.0008021,0.0008021
123,3216.76,1.33088,0.73015,1.69464,0.82704,0.59129,0.6709,0.41548,2.74703,3.83121,2.17744,0.0007922,0.0007922,0.0007922
124,3242.92,1.31862,0.70012,1.68507,0.81117,0.59959,0.65452,0.39684,2.74037,3.6377,2.19231,0.0007823,0.0007823,0.0007823
125,3269.05,1.30493,0.69596,1.68826,0.8056,0.61043,0.67708,0.41246,2.70428,3.61527,2.17537,0.0007724,0.0007724,0.0007724
126,3295.15,1.33326,0.73288,1.68314,0.80788,0.60198,0.66825,0.4125,2.70517,3.66019,2.16837,0.0007625,0.0007625,0.0007625
127,3321.28,1.28619,0.72458,1.67737,0.83217,0.58091,0.64496,0.38994,2.77085,3.84776,2.20502,0.0007526,0.0007526,0.0007526
128,3347.38,1.28773,0.7023,1.67413,0.83669,0.56846,0.68438,0.43454,2.75255,3.8938,2.21855,0.0007427,0.0007427,0.0007427
129,3373.45,1.29794,0.70848,1.68377,0.78971,0.61549,0.69009,0.42307,2.73433,3.36357,2.19536,0.0007328,0.0007328,0.0007328
130,3399.59,1.26305,0.65821,1.67512,0.75633,0.56846,0.62074,0.38163,2.77644,3.95805,2.22861,0.0007229,0.0007229,0.0007229
131,3425.72,1.26362,0.68815,1.67421,0.83161,0.59336,0.65896,0.40963,2.75298,3.81087,2.19016,0.000713,0.000713,0.000713
132,3451.77,1.28247,0.67793,1.68356,0.82619,0.5917,0.64291,0.3956,2.7581,3.95602,2.20243,0.0007031,0.0007031,0.0007031
133,3477.95,1.24201,0.65389,1.66662,0.84027,0.61117,0.70169,0.44718,2.78485,3.88308,2.22242,0.0006932,0.0006932,0.0006932
134,3503.98,1.23042,0.64449,1.66658,0.83887,0.60373,0.69002,0.44003,2.75219,3.6965,2.21737,0.0006833,0.0006833,0.0006833
135,3529.95,1.23408,0.66609,1.66964,0.79927,0.60996,0.66978,0.41988,2.74926,3.89958,2.2131,0.0006734,0.0006734,0.0006734
136,3556.07,1.21914,0.63015,1.68275,0.77583,0.55809,0.61934,0.37697,2.87087,4.20522,2.24401,0.0006635,0.0006635,0.0006635
137,3582.17,1.19532,0.623,1.67015,0.86259,0.58608,0.72063,0.46451,2.76851,3.7801,2.208,0.0006536,0.0006536,0.0006536
138,3608.27,1.22035,0.63555,1.66659,0.83731,0.60996,0.69068,0.43377,2.73628,3.91953,2.21791,0.0006437,0.0006437,0.0006437
139,3634.31,1.21392,0.61431,1.66176,0.86533,0.58091,0.68858,0.4459,2.69686,3.8563,2.20328,0.0006338,0.0006338,0.0006338
140,3660.45,1.20374,0.61577,1.66603,0.83568,0.6225,0.70515,0.45591,2.67396,3.79118,2.19246,0.0006239,0.0006239,0.0006239
141,3686.54,1.2147,0.60811,1.67381,0.85264,0.59336,0.69588,0.44812,2.69552,4.05503,2.20271,0.000614,0.000614,0.000614
142,3712.63,1.17039,0.61443,1.65135,0.79663,0.60951,0.69958,0.45448,2.68904,4.05063,2.21071,0.0006041,0.0006041,0.0006041
143,3738.86,1.20079,0.58776,1.66226,0.85068,0.59751,0.69771,0.44497,2.70956,3.81449,2.2256,0.0005942,0.0005942,0.0005942
144,3764.93,1.1569,0.58946,1.65759,0.82147,0.60166,0.6797,0.42175,2.7534,4.08303,2.20995,0.0005843,0.0005843,0.0005843
145,3791.09,1.1579,0.58824,1.66169,0.82733,0.60373,0.68317,0.43254,2.6814,4.05898,2.18897,0.0005744,0.0005744,0.0005744
146,3817.14,1.12794,0.55578,1.65339,0.85394,0.60996,0.70862,0.45962,2.68656,3.84685,2.20627,0.0005645,0.0005645,0.0005645
147,3843.28,1.11108,0.56584,1.64367,0.86401,0.59751,0.67682,0.42405,2.76257,4.07171,2.25331,0.0005546,0.0005546,0.0005546
148,3869.31,1.11951,0.56281,1.65633,0.84276,0.58935,0.7067,0.45812,2.68876,3.96805,2.21543,0.0005447,0.0005447,0.0005447
149,3895.36,1.14052,0.56326,1.65688,0.83609,0.60166,0.69469,0.44233,2.68889,3.95088,2.23434,0.0005348,0.0005348,0.0005348
150,3921.43,1.13859,0.57489,1.65988,0.8537,0.58714,0.71916,0.47097,2.69105,3.86317,2.21601,0.0005249,0.0005249,0.0005249
151,3947.49,1.14412,0.56478,1.653,0.84266,0.60373,0.71645,0.47309,2.70599,4.02245,2.2308,0.000515,0.000515,0.000515
152,3973.58,1.14483,0.56999,1.64849,0.82985,0.59544,0.67159,0.42409,2.69866,3.87706,2.23677,0.0005051,0.0005051,0.0005051
153,3999.6,1.11976,0.54802,1.65638,0.84087,0.61391,0.7095,0.46245,2.63504,3.84797,2.19587,0.0004952,0.0004952,0.0004952
154,4025.6,1.0871,0.55512,1.64006,0.86212,0.60969,0.69839,0.45566,2.62643,3.94621,2.20069,0.0004853,0.0004853,0.0004853
155,4051.6,1.09379,0.55587,1.63991,0.8501,0.60373,0.7035,0.46012,2.67517,3.83344,2.23139,0.0004754,0.0004754,0.0004754
156,4077.67,1.08943,0.57129,1.64399,0.85526,0.60071,0.70648,0.46622,2.65435,3.7724,2.22777,0.0004655,0.0004655,0.0004655
157,4103.75,1.06662,0.53271,1.6388,0.84942,0.59685,0.7128,0.47533,2.65292,3.91191,2.23035,0.0004556,0.0004556,0.0004556
158,4129.84,1.07291,0.53877,1.64189,0.82774,0.62241,0.69291,0.45547,2.63204,3.78142,2.2043,0.0004457,0.0004457,0.0004457
159,4155.82,1.05354,0.52722,1.63783,0.82923,0.61455,0.70872,0.47399,2.6254,3.97045,2.20336,0.0004358,0.0004358,0.0004358
160,4181.9,1.05062,0.53375,1.64338,0.86198,0.61203,0.71607,0.48032,2.62538,3.9807,2.22176,0.0004259,0.0004259,0.0004259
161,4207.99,1.04201,0.53835,1.63904,0.8236,0.59751,0.66987,0.43009,2.69795,4.08608,2.23973,0.000416,0.000416,0.000416
162,4233.97,1.06254,0.54347,1.63982,0.84831,0.61203,0.72832,0.49089,2.61056,3.91095,2.20031,0.0004061,0.0004061,0.0004061
163,4260.01,1.02398,0.51623,1.63493,0.83213,0.62734,0.72875,0.48864,2.61936,3.73531,2.22094,0.0003962,0.0003962,0.0003962
164,4285.99,1.03966,0.5321,1.63234,0.88954,0.58477,0.67549,0.44098,2.69628,3.84723,2.25941,0.0003863,0.0003863,0.0003863
165,4312.04,1.02578,0.52392,1.63293,0.86342,0.60996,0.72379,0.48782,2.62053,3.85907,2.23653,0.0003764,0.0003764,0.0003764
166,4338.07,1.00701,0.50195,1.62861,0.83167,0.60477,0.67386,0.43636,2.61819,3.81235,2.22549,0.0003665,0.0003665,0.0003665
167,4364.14,1.00893,0.50415,1.62999,0.86467,0.59751,0.71569,0.47397,2.61317,3.7663,2.22744,0.0003566,0.0003566,0.0003566
168,4390.16,1.03487,0.5229,1.63719,0.82539,0.63278,0.72391,0.47682,2.63787,3.69784,2.23667,0.0003467,0.0003467,0.0003467
169,4416.17,1.00757,0.4909,1.62985,0.87303,0.61618,0.72687,0.47481,2.66098,3.72473,2.24918,0.0003368,0.0003368,0.0003368
170,4442.2,0.99009,0.49322,1.63236,0.87577,0.59544,0.67342,0.43366,2.64765,3.86818,2.23514,0.0003269,0.0003269,0.0003269
171,4468.16,0.97391,0.46994,1.62998,0.89692,0.59572,0.72628,0.48233,2.65538,3.87762,2.24453,0.000317,0.000317,0.000317
