epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1407,2.5681,9.64202,1.59694,0,0,0,0,nan,nan,nan,0.0005,0.0005,0.0005
2,51.2062,1.54829,3.34604,1.09825,0,0,0,0,nan,nan,nan,0.00101327,0.00101327,0.00101327
3,76.0461,1.53816,2.04076,1.10257,0,0,0,0,nan,nan,nan,0.00151967,0.00151967,0.00151967
4,101.546,1.51797,1.95111,1.09305,0,0,0,0,nan,nan,nan,0.0019604,0.0019604,0.0019604
5,126.423,1.53898,1.90386,1.09052,0.08932,0.08095,0.02199,0.01136,1.87333,6.42655,1.28865,0.0019472,0.0019472,0.0019472
6,152.261,1.55941,2.3898,1.09741,0.00101,0.0881,0.00055,0.00028,2.34431,inf,1.44921,0.001934,0.001934,0.001934
7,177.855,1.52735,1.81917,1.08691,0.3526,0.30833,0.2368,0.11678,1.60068,6.658,1.12175,0.0019208,0.0019208,0.0019208
8,202.918,1.486,1.77312,1.0735,0.2707,0.0881,0.07202,0.03573,1.85488,3.10955,1.16406,0.0019076,0.0019076,0.0019076
9,227.766,1.4704,1.70912,1.06858,0.42558,0.3869,0.31216,0.16351,1.52987,2.62741,1.09221,0.0018944,0.0018944,0.0018944
10,252.956,1.46685,1.66694,1.06298,0.4727,0.44762,0.39583,0.17453,1.48685,3.41665,1.08689,0.0018812,0.0018812,0.0018812
11,278.07,1.45368,1.7051,1.05831,0.09605,0.24048,0.05179,0.02869,1.53199,3.2247,1.08556,0.001868,0.001868,0.001868
12,303.179,1.42093,1.62179,1.04804,0.40903,0.28929,0.22962,0.12583,1.40677,9.83783,1.04406,0.0018548,0.0018548,0.0018548
13,328.419,1.42929,1.681,1.0508,0.43099,0.40714,0.34802,0.18189,1.46731,2.50478,1.06417,0.0018416,0.0018416,0.0018416
14,353.494,1.42494,1.63726,1.04677,0.4588,0.35238,0.27999,0.14552,1.59693,2.67192,1.11507,0.0018284,0.0018284,0.0018284
15,378.48,1.41103,1.62287,1.05067,0.59031,0.18333,0.24107,0.13109,1.57203,3.10635,1.10723,0.0018152,0.0018152,0.0018152
16,403.452,1.41474,1.49,1.04103,0.50096,0.37381,0.35639,0.18387,1.54507,2.32068,1.07589,0.001802,0.001802,0.001802
17,428.665,1.38735,1.49645,1.03271,0.49295,0.41434,0.39294,0.20987,1.48704,2.08248,1.06797,0.0017888,0.0017888,0.0017888
18,453.705,1.35229,2.21312,1.00119,0.49226,0.29778,0.31362,0.16361,1.51647,2.51132,1.08034,0.0017756,0.0017756,0.0017756
