epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2645,3.09654,3.87771,1.7617,0.00192,0.17361,0.00171,0.00047,2.19521,3.80553,1.27012,0.00038,0.00038,0.00038
2,27.0979,2.36182,2.75549,1.39483,0.00587,0.53075,0.0103,0.00414,2.35159,3.46945,1.41014,0.000772278,0.000772278,0.000772278
3,39.1401,2.26147,2.58617,1.30342,0.1743,0.13492,0.06643,0.02011,2.63889,3.0772,1.63642,0.00115664,0.00115664,0.00115664
4,51.546,2.25205,2.47188,1.32384,0.12937,0.1369,0.05072,0.00815,3.26818,5.34502,2.11414,0.00153307,0.00153307,0.00153307
5,64.4882,2.18253,2.42066,1.33546,0.01084,0.03175,0.00274,0.00054,4.00937,inf,3.43929,0.00190159,0.00190159,0.00190159
6,76.1837,2.18248,2.26023,1.32545,0.02205,0.21726,0.01118,0.00292,3.04418,7.55394,1.96122,0.001901,0.001901,0.001901
7,87.7671,2.1796,2.15155,1.3189,0.07471,0.125,0.02615,0.00434,3.1253,4.06321,1.84507,0.0018812,0.0018812,0.0018812
8,100.552,2.12836,2.10675,1.27273,0.0024,0.0119,0.00038,5e-05,4.3615,45.4365,3.04958,0.0018614,0.0018614,0.0018614
9,112.158,2.05591,2.06606,1.31345,0.01528,0.06746,0.00447,0.00071,3.92896,6.32662,2.1301,0.0018416,0.0018416,0.0018416
10,124.021,2.12229,2.03502,1.26639,0.3032,0.29563,0.20154,0.06102,2.34328,4.24948,1.3717,0.0018218,0.0018218,0.0018218
11,135.39,2.03822,2.00319,1.25124,0.01676,0.03671,0.00438,0.00084,3.80883,7.18118,2.21179,0.001802,0.001802,0.001802
12,146.897,1.98295,2.04375,1.24261,0.00838,0.01488,0.00133,0.00038,4.05946,4.82344,2.46655,0.0017822,0.0017822,0.0017822
13,158.654,2.02628,1.97559,1.24172,0.35024,0.34325,0.28111,0.10578,2.3555,3.75986,1.48882,0.0017624,0.0017624,0.0017624
14,170.433,2.06309,2.01345,1.26073,0.06853,0.1131,0.02766,0.00681,3.26766,6.87325,1.75419,0.0017426,0.0017426,0.0017426
15,182.042,1.97846,1.96488,1.24038,0.12989,0.2004,0.06713,0.01363,2.72523,4.80733,1.52364,0.0017228,0.0017228,0.0017228
16,193.51,1.93372,1.82866,1.21007,0.32316,0.25496,0.18721,0.044,2.78147,3.51168,1.56983,0.001703,0.001703,0.001703
17,205.079,1.93472,1.89183,1.22173,0.31631,0.24702,0.19667,0.06639,2.29348,3.11142,1.34005,0.0016832,0.0016832,0.0016832
18,216.483,1.96572,1.88672,1.21597,0.34186,0.2748,0.21024,0.07704,2.14787,3.33798,1.28373,0.0016634,0.0016634,0.0016634
19,227.782,1.95453,1.85296,1.19943,0.11503,0.1369,0.04296,0.01157,3.18946,3.29188,1.76651,0.0016436,0.0016436,0.0016436
20,239.281,1.87211,1.76518,1.1804,0.02275,0.05456,0.00501,0.00118,4.12062,4.98524,2.75383,0.0016238,0.0016238,0.0016238
21,250.831,2.1064,1.94261,1.27712,0.22383,0.21032,0.11951,0.03053,2.41159,5.49924,1.41297,0.001604,0.001604,0.001604
22,262.264,1.89541,1.87645,1.18954,0.25357,0.18452,0.11928,0.03753,2.37659,4.03747,1.37223,0.0015842,0.0015842,0.0015842
23,273.74,1.98836,1.86842,1.22615,0.1872,0.17068,0.0839,0.02193,2.83082,3.07481,1.55698,0.0015644,0.0015644,0.0015644
24,285.46,1.91143,1.89853,1.21032,0.01427,0.00397,0.00106,0.00013,4.70965,4.73698,2.88487,0.0015446,0.0015446,0.0015446
25,297.159,1.90667,1.79818,1.18432,0.05673,0.0754,0.01213,0.00362,3.45676,7.3989,2.05333,0.0015248,0.0015248,0.0015248
26,308.685,1.90144,1.70071,1.16653,0.23668,0.23512,0.13467,0.03322,2.82498,3.54393,1.58336,0.001505,0.001505,0.001505
27,320.054,1.89735,1.82735,1.18998,0.06909,0.13095,0.02645,0.00418,3.38388,6.49802,1.77615,0.0014852,0.0014852,0.0014852
28,331.227,2.01067,1.79106,1.25139,0.38389,0.3125,0.25688,0.11437,1.98496,2.35038,1.19866,0.0014654,0.0014654,0.0014654
29,342.676,1.97832,1.81925,1.22331,0.23943,0.23214,0.13877,0.03795,2.92468,3.00868,1.65685,0.0014456,0.0014456,0.0014456
30,354.14,1.98588,1.89362,1.21129,0.06414,0.09921,0.02545,0.00545,3.27111,3.06412,1.78982,0.0014258,0.0014258,0.0014258
31,365.793,1.89403,1.74645,1.21261,0.20593,0.22917,0.11219,0.01737,3.29258,5.15061,1.76272,0.001406,0.001406,0.001406
32,377.277,1.9306,1.73369,1.17891,0.33473,0.34028,0.25355,0.07078,2.45355,3.13083,1.34664,0.0013862,0.0013862,0.0013862
33,388.78,1.87252,1.72885,1.19828,0.27535,0.33248,0.20491,0.06815,2.1898,3.32793,1.25851,0.0013664,0.0013664,0.0013664
34,400.244,1.88597,1.76671,1.18097,0.15766,0.21429,0.08728,0.01729,3.01599,3.54809,1.62205,0.0013466,0.0013466,0.0013466
35,411.841,1.87429,1.70954,1.16322,0.26218,0.33829,0.18594,0.05511,2.31062,4.46078,1.34443,0.0013268,0.0013268,0.0013268
36,423.336,1.84007,1.70335,1.17027,0.22862,0.27183,0.14017,0.02893,2.76724,3.55711,1.50653,0.001307,0.001307,0.001307
37,434.734,1.80518,1.7297,1.16779,0.29002,0.26389,0.17459,0.04755,2.46194,2.94453,1.35016,0.0012872,0.0012872,0.0012872
38,446.213,1.77461,1.67061,1.15688,0.35665,0.32738,0.25477,0.09121,2.14837,3.62553,1.25479,0.0012674,0.0012674,0.0012674
39,457.657,1.83653,1.67148,1.16687,0.40519,0.3125,0.27616,0.11511,2.03611,2.82333,1.22191,0.0012476,0.0012476,0.0012476
40,468.994,1.82285,1.61379,1.16329,0.15808,0.15106,0.07186,0.02322,2.89013,2.83924,1.60929,0.0012278,0.0012278,0.0012278
41,480.671,1.81803,1.62756,1.15073,0.09055,0.11706,0.0329,0.00854,3.33436,4.85241,1.92394,0.001208,0.001208,0.001208
42,492.144,1.8322,1.6922,1.16163,0.03221,0.0754,0.00751,0.0015,3.75624,4.68897,2.12599,0.0011882,0.0011882,0.0011882
43,503.586,1.81815,1.73083,1.17729,0.06352,0.09921,0.02299,0.00682,3.38557,2.99405,1.92633,0.0011684,0.0011684,0.0011684
44,515.018,1.85046,1.71803,1.18412,0.39542,0.39484,0.31303,0.11098,2.19315,2.89386,1.28665,0.0011486,0.0011486,0.0011486
45,526.372,1.76508,1.56411,1.14224,0.31642,0.31845,0.21708,0.09037,2.03566,3.3837,1.20688,0.0011288,0.0011288,0.0011288
46,537.85,1.80346,1.63652,1.14072,0.17228,0.16071,0.07545,0.01781,2.97777,4.49481,1.62273,0.001109,0.001109,0.001109
47,549.253,1.79297,1.62187,1.13865,0.31588,0.27877,0.18696,0.04039,2.70122,2.78174,1.49547,0.0010892,0.0010892,0.0010892
48,560.639,1.81287,1.62404,1.14146,0.08701,0.11409,0.02711,0.00475,3.43728,3.62293,1.92455,0.0010694,0.0010694,0.0010694
49,572.198,1.8,1.60542,1.13084,0.10262,0.12599,0.03689,0.0074,3.16975,3.85946,1.72588,0.0010496,0.0010496,0.0010496
50,583.57,1.89644,1.68364,1.21479,0.08038,0.1131,0.02911,0.00701,3.19828,3.0794,1.86787,0.0010298,0.0010298,0.0010298
51,595.14,1.84917,1.68888,1.14213,0.23377,0.24306,0.12663,0.03723,2.49001,3.27228,1.40576,0.00101,0.00101,0.00101
52,606.58,1.83847,1.585,1.17795,0.17211,0.19345,0.07534,0.01596,2.94673,3.26121,1.65072,0.0009902,0.0009902,0.0009902
53,618.009,1.80747,1.60047,1.16278,0.40691,0.39286,0.31123,0.12877,2.06323,2.2167,1.22322,0.0009704,0.0009704,0.0009704
54,629.435,1.81519,1.62394,1.14213,0.11439,0.17361,0.04712,0.0103,2.92198,3.04666,1.56926,0.0009506,0.0009506,0.0009506
55,640.851,1.8123,1.6057,1.15215,0.36658,0.31349,0.22587,0.06591,2.32563,3.09419,1.31089,0.0009308,0.0009308,0.0009308
56,652.268,1.75215,1.59036,1.15102,0.148,0.19048,0.07328,0.01664,3.07998,2.85606,1.69419,0.000911,0.000911,0.000911
57,663.707,1.81998,1.5623,1.16187,0.31189,0.33036,0.21693,0.07596,2.21277,2.68042,1.27414,0.0008912,0.0008912,0.0008912
58,675.115,1.85587,1.72202,1.15714,0.18569,0.16171,0.06939,0.01522,3.18243,3.99622,1.74865,0.0008714,0.0008714,0.0008714
59,686.367,1.7894,1.56321,1.14837,0.45096,0.38217,0.33612,0.14122,2.04174,2.22735,1.2702,0.0008516,0.0008516,0.0008516
